# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
traveler|n|n 旅行者；旅客；旅行推销员（等于traveller）
treasure|n v|n 财富，财产；财宝；珍品；v 珍爱；珍藏
treat|n v|v 治疗；对待；探讨；视为；n 请客；款待
treatment|n|n 治疗，疗法；处理；对待
tree|n v|n 树；木料；树状物；v 把赶上树
tremble|n v|v 发抖；战栗；焦虑；摇晃；n 颤抖；战栗；摇晃
trend|n v|n 趋势，倾向；走向；v 趋向，伸向
trial|a n|n 试验；审讯；努力；磨炼；adj 试验的；审讯的
triangle|n|n 三角（形）；三角关系；三角形之物；三人一组
trick|a n v|n 诡计；恶作剧；窍门；花招；骗局；欺诈；v 欺骗；哄骗；装饰；打扮
trip|n v|v 绊倒；远足；犯错误；轻快地走；n 旅行；绊倒；差错
troop|n v|n 军队；组；群；多数；v 群集；成群而行；结队
trouble|n v|n 麻烦；烦恼；故障；动乱；v 麻烦；使烦恼；折磨
troublesome|a|adj 麻烦的；讨厌的；使人苦恼的
trousers|n|n 裤子，长裤
truck|a n v|n 卡车；交易；手推车；v 驾驶卡车；以物易物
true|a d n v|adj 真实的；正确的；adv 真实地；准确地
truly|d n|adv 真实地，不假；真诚地；n (Truly)人名；(英)特鲁利
trunk|a n v|n 树干；躯干；象鼻；汽车车尾的行李箱；vt 把…放入旅行箱内
trust|n v|n 信任，信赖；责任；托拉斯；v 信任，信赖；盼望；赊卖给
truth|n|n 真理；事实；诚实；实质
try|n v|v 试图，努力；试验；审判；考验；n 尝试；努力；试验
tube|n v|n 管；电子管；隧道；电视机；v 使成管状；把…装管；用管输送
tuesday|n|n 星期二
tune|n v|n 曲调；和谐；心情；v 调整；使一致；为…调音
turkey|n|n 火鸡；笨蛋；失败之作
turn|n v|v 转动，使旋转；转弯；翻过来；兑换；n 转弯；变化；(损害或有益于别人的)行为，举动，举止
turning|n v|n 转向；旋转；回转；转弯处；v 旋转（turn的ing形式）
tutor|n v|v 辅导；约束；n 导师；家庭教师；助教
tv||abbr 电视（television）
twelfth|a n|adj 第十二的，第十二个的；十二分之一的；n 第十二；月的第十二日
twelve|a n|n 十二；十二个；num 十二；十二个
twentieth|a n|n 二十分之一；adj 第二十的；二十分之一的
twenty|a n|n 二十；二十年代；num 二十
twice|d|adv 两次；两倍
twin|a n v|v 使成对；n 双胞胎中一人
twist|n v|v 捻；拧；扭伤；编织；使苦恼；n 扭曲；拧；扭伤
two|a n|n 两个；adj 两个的
type|n v|n 类型，品种；模范；样式；v 打字；测定（血等）类型
typewriter|n|n 打字机
typhoon|n|n [气象] 台风
typical|a|adj 典型的；特有的；象征性的
typist|n|n 打字员，打字者
tyre|n v|vt 装轮胎于；n [橡胶] 轮胎；轮箍
ugly|a|adj 丑陋的；邪恶的；令人厌恶的
uk|n|abbr 联合王国（United Kingdom）；n 英国
umbrella|n|n 雨伞；保护伞；庇护；伞形结构
un||abbr 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
unable|a|adj 不会的，不能的；[劳经] 无能力的；不能胜任的
unbearable|a|adj 难以忍受的；承受不住的
uncertain|a|adj 无常的；含糊的；靠不住的；迟疑不决的
uncle|n|n 叔叔；伯父；伯伯；舅父；姨丈；姑父
uncomfortable|a|adj 不舒服的；不安的
unconditional|a|adj 无条件的；绝对的；无限制的
unconscious|a|adj 无意识的；失去知觉的；不省人事的；未发觉的
under|a d|prep 低于，少于；在之下；adv 在下面；在下方
underground|a d n|adv 在地下；秘密地；adj 地下的；秘密的；先锋派的
underline|n v|v 强调；在…下面划线；预告；n 下划线；下期节目预告
understand|v|v 理解；懂；获悉；推断；省略
understanding|a n v|n 谅解，理解；理解力；协议；adj 了解的；聪明的；有理解力的
undertake|v|v 承担，保证；从事；同意；试图
underwear|n|n 内衣物
undivided|a v|adj 专心的；专一的；未分开的；完整的；v 未分开（undivide的过去式和过去分词）
undo|v|v 取消；解开；破坏；扰乱
unemployment|n|n 失业；失业率；失业人数
unfair|a|adj 不公平的，不公正的
unfit|a v|adj 不适宜的；不合格的；不健康的；v 使不合格；使不相宜；使不胜任
unfold|v|v 打开；呈现
unfortunate|a|adj 不幸的；令人遗憾的；不成功的
unfortunately|d|adv 不幸地
unhappy|a|adj 不快乐的；不幸福的；不适当的
unhealthy|a|adj 不健康的；危险的；有害身心健康的
uniform|a n v|adj 统一的；一致的；相同的；均衡的；始终如一的；n 制服
unimportant|a|adj 不重要的；琐碎的
union|n|n 联盟，协会；工会；联合
unique|a n|adj 独特的，稀罕的；[数] 唯一的，独一无二的；n 独一无二的人或物
unit|n|n 单位，单元；装置；[军] 部队；部件
unite|v|v 使…混合；使…联合；使…团结
universal|a n|adj 普遍的；通用的；宇宙的；全世界的；全体的；n 一般概念；普通性
universe|n|n 宇宙；世界；领域
university|n|n 大学；综合性大学；大学校舍
unknown|a n|adj 未知的；陌生的，默默无闻的；n 未知数；未知的事物，默默无闻的人
unless||conj 除非，如果不；prep 除…之外
unlike|a|adj 不同的，不相似的；prep 和…不同，不像
unmarried|a v|adj [法] 未婚的；单身的；独身的；v 离婚（unmarry的过去分词）
unpleasant|a|adj 讨厌的；使人不愉快的
unrest|n|n 不安；动荡的局面；不安的状态
unsafe|a|adj 不安全的；危险的；不安稳的
unsuccessful|a|adj 不成功的；失败的
until||conj 在…以前；直到…时；prep 在…以前；到…为止
untrue|a|adj 不真实的；不合标准的；不忠实的；不正当的
unusual|a|adj 不寻常的；与众不同的；不平常的
unwilling|a|adj 不愿意的；不情愿的；勉强的
up|a d n|adv 起来；上涨；向上；prep 在…之上；向…的较高处
upper|a n|adj 上面的，上部的；较高的；n (Upper)人名；(英)厄珀
upset|a n v|v 使心烦；颠覆；扰乱；adj 心烦的；混乱的；弄翻的
upstairs|a d n|adv 在楼上，向楼上；上楼；往楼上；adj 楼上的
upward|a d|adj 向上的；上升的；adv 向上
urban|a n|adj 城市的；住在都市的；n (Urban)人名；(西)乌尔万；(斯洛伐)乌尔班；(德、俄、罗、匈、塞、波、捷、瑞典、意)乌尔班；(英)厄本；(法)于尔邦
urge|n v|v 力劝，催促；驱策，推进；n 强烈的欲望，迫切要求；推动力
urgent|a|adj 紧急的；急迫的
use|n v|n 使用；用途；发挥；v 利用；耗费
used|a v|adj 习惯的；二手的，使用过的；v 用（use的过去式）；（used to）过去常做
useful|a|adj 有用的，有益的；有帮助的
useless|a|adj 无用的；无效的
user|n|n 用户
usual|a|adj 通常的，惯例的；平常的
usually|d|adv 通常，经常
vacant|a n|adj 空虚的；空的；空缺的；空闲的；茫然的；n (Vacant)人名；(法)瓦康
vacation|n v|n 假期；（房屋）搬出；v 休假，度假
vague|a n|adj 模糊的；含糊的；不明确的；暧昧的；n (Vague)人名；(法)瓦格；(英)韦格
vain|a|adj 徒劳的；自负的；无结果的；无用的
valid|a|adj 有效的；有根据的；合法的；正当的
valley|n|n 山谷；流域；溪谷
valuable|a n|adj 有价值的；贵重的；可估价的；n 贵重物品
value|n v|n 值；价值；价格；重要性；确切涵义；v 评价；重视；估价
vanilla|a n|n 香子兰，香草；adj 香草味的
variety|n|n 多样；种类；杂耍；变化，多样化
various|a|adj 各种各样的；多方面的
vase|n|n 瓶；花瓶
vast|a n|adj 广阔的；巨大的；大量的；巨额的；n 浩瀚；广阔无垠的空间
veal|n|n 小牛（等于vealer）；小牛肉
vegetable|a n|n 蔬菜；植物；植物人；adj 蔬菜的；植物的
vehicle|n|n [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
version|n|n 版本；译文；倒转术
vertical|a n|adj 垂直的，直立的；[解剖] 头顶的，顶点的；n 垂直线，垂直面
very|a d n|adj 恰好是，正是；甚至；十足的；特有的；adv 非常，很；完全
vest|n v|n 背心；汗衫；v 授予；使穿衣
via||prep 渠道，通过；经由
vice|a n v|n 恶习；缺点；[机] 老虎钳；卖淫；prep 代替
victim|n|n 受害人；牺牲品；牺牲者
victory|n|n 胜利；成功；克服
video|a n v|n [电子] 视频；录像，录像机；电视；adj 视频的；录像的；电视的
videophone|n|n 电视电话
view|n v|n 观察；视野；意见；风景；v 观察；考虑；查看
viewer|n|n 观察者；观看者；观众；[仪] 指示器
village|n|n 村庄；村民；（动物的）群落
villager|n|n 乡村居民，村民
vinegar|n|n 醋
violate|v|v 违反；侵犯，妨碍；亵渎
violence|n|n 暴力；侵犯；激烈；歪曲
violent|a|adj 暴力的；猛烈的
violin|n|n 小提琴；小提琴手
violinist|n|n 小提琴演奏者，小提琴家
virtue|n|n 美德；优点；贞操；功效
virus|n|n [病毒] 病毒；恶毒；毒害
visa|n v|n 签证；v 签发签证
visit|n v|n 访问；参观；逗留；v 访问；参观；视察
visitor|n|n 访问者，参观者；视察者；候鸟
visual|a|adj 视觉的，视力的；栩栩如生的
vital|a n|adj 至关重要的；生死攸关的；有活力的；n (Vital)人名；(法、德、意、俄、葡)维塔尔；(西)比塔尔
vivid|a|adj 生动的；鲜明的；鲜艳的
vocabulary|n|n 词汇；词表；词汇量
voice|n v|n 声音；嗓音；发言权；愿望；v 表达；吐露
volcano|n|n 火山
volleyball|n|n 排球
voluntary|a n|adj 自愿的；志愿的；自发的；故意的；n 志愿者；自愿行动
volunteer|a n v|n 志愿者；志愿兵；adj 志愿的
vote|n v|n 投票，选举；选票；得票数；v 提议，使投票；投票决定；公认
voyage|n v|n 航行；航程；旅行记；v 航行；航海
wag|n v|v 摇摆；摇动；饶舌；n 摇摆；爱说笑打趣的人
wage|n v|v 进行；发动；从事；n 工资；代价；报偿
waist|n|n 腰，腰部
wait|n v|v 等候；推迟；延缓；n 等待；等候
waiter|n|n 服务员，侍者
waitress|n v|n 女服务员；女侍者；v 做女服务生
wake|n v|v 醒来；唤醒；警觉；n 尾迹；守夜；守丧
walk|n v|n 步行，走；散步；v 散步；走过
walkman|n|n 随身听（商标名称）
wall|a n v|n 墙壁，围墙；似墙之物；v 用墙围住，围以墙
wallet|n|n 钱包，皮夹
walnut|a n|n 胡桃；胡桃木；adj 胡桃科植物的
wander|n v|v 徘徊；漫步；迷路；离题；n (Wander)人名；(英)万德(女子教名)
want|n v|v 需要；希望；应该；缺少；n 需要；缺乏；贫困；必需品
war|n v|n 战争，斗争；军事，战术；冲突，对抗，竞争；v 打仗，作战；对抗
ward|n v|n 病房；保卫；监视；v 避开；保卫；守护
warehouse|n v|n 仓库；货栈；大商店；v 储入仓库；以他人名义购进（股票）
warm|a n v|adj 温暖的；热情的；v 同情；激动；变温暖
warmth|n|n 温暖；热情；激动
warning|a n v|n 警告；预兆；预告；adj 警告的；引以为戒的
wash|n v|n 洗涤；洗的衣服；化妆水；冲积物；v 洗涤；洗刷；冲走；拍打
washroom|n|n 洗手间；盥洗室；厕所
waste|a n v|n 浪费；废物；荒地；损耗；地面风化物；v 浪费；消耗；使荒芜
watch|n v|v 观察；注视；看守；警戒；n 手表；监视；守护；值班人
water|n v|n 水；海水；雨水；海域，大片的水；v 使湿；供以水；给…浇水
watermelon|n|n 西瓜
wave|n v|v 波动；起伏；挥手示意；摇动；呈波形；n 波动；波浪；高潮；挥手示意；卷曲
wax|a n v|n 蜡；蜡状物；v 给…上蜡
way|a d n|n 方法；道路；方向；行业；习惯；adv 大大地；远远地
wayside|a n|n 路旁；adj 路旁的
we|n|pron 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人；n (We)人名；(缅)韦
weak|a|adj [经] 疲软的；虚弱的；无力的；不牢固的
weakness|n|n 弱点；软弱；嗜好
wealth|n|n 财富；大量；富有
wealthy|a n|adj 富有的；充分的；丰裕的；n 富人
wear|n v|n 衣物；磨损；耐久性；v 穿着；用旧；耗损；面露
weather|a n v|n 天气；气象；气候；处境；v 经受住；使风化；侵蚀；使受风吹雨打
weatherman|n|n 气象员；天气预报员
web|n v|n 网；卷筒纸；蹼；织物；圈套；v 用网缠住；使中圈套
website|n|n 网站（全球资讯网的主机站）
wedding|n v|n 婚礼，婚宴；结婚；结合；v 与…结婚（wed的ing形式）
wednesday|n|n 星期三
weed|n v|v 除草；铲除；n 杂草，野草；菸草
week|n|n 周，星期
weekday|n|n 平日，普通日；工作日
weekend|a n v|n 周末，周末休假；周末聚会；adj 周末的，周末用的
weekly|a d n|adj 每周的；周刊的；一周一次的；n 周刊
weep|n v|v 哭泣；流泪；哀悼；滴落；渗出液体；n 哭泣；眼泪；滴下
weigh|n v|v 权衡；考虑；称…重量；n 权衡；称重量
weight|n v|n 重量，重力；负担；砝码；重要性；v 加重量于，使变重
welcome|a n v|adj 受欢迎的；n 欢迎
welfare|a n|n 福利；幸福；福利事业；安宁；adj 福利的；接受社会救济的
well|a d n v|adv 很好地；充分地；满意地；适当地；adj 良好的；健康的；适宜的
west|a d n|n 西；西方；西部；adj 西方的；朝西的
western|a n|adj 西方的，西部的；有西方特征的；n 西方人；西部片，西部小说
westerner|n|n 西方人，欧美人；美国西部的人
westwards|a d|adv 向西；adj 向西的
wet|a n v|adj [气象][物] 潮湿的；有雨的；n 雨天；湿气
whale|n v|v 猛揍；使惨败；n 鲸；巨大的东西
what|a d|pron 什么；多么；多少；adj 什么；多么；何等
whatever|a|adj 不管什么样的；pron 无论什么；诸如此类
wheat|n|n 小麦；小麦色
wheel|n v|n 车轮；方向盘；转动；v 转动；使变换方向；给…装轮子
when|d n|conj 考虑到；既然；当…时；在…时；如果；adv 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
whenever|d|conj 每当；无论何时；adv 不论何时；随便什么时候
where|d n|adv 在哪里；pron 哪里
wherever|d|adv 无论什么地方；究竟在哪里；conj 无论在哪里；无论什么情况下
whether||conj 是否；不论；pron 两个中的哪一个
which|a|pron 哪/那一个；哪/那一些；adj 哪一个；哪一些
whichever|a|pron 任何一个；无论哪个；adj 无论哪个；无论哪些
while|n v|conj 虽然；然而；当……的时候；n 一会儿；一段时间
whisper|n v|n 私语；谣传；飒飒的声音；v 耳语；密谈；飒飒地响
whistle|n v|n 口哨；汽笛；呼啸声；v 吹口哨；鸣汽笛
white|a n|adj 白色的；白种的；纯洁的；n 白色；洁白；白种人
who||pron 谁；什么人
whole|a n|adj 完整的；纯粹的；n 整体；全部
whom||pron 谁（who的宾格）
whose||pron 谁的（疑问代词）
why|d|int 哎呀！什么？；adv 为什么
wide|a d n|adj 广泛的；宽的，广阔的；张大的；远离目标的；adv 广泛地；广阔地；充分地
widespread|a|adj 普遍的，广泛的；分布广的
wife|n|n 妻子，已婚妇女；夫人
wild|a d n|adj 野生的；野蛮的；狂热的；荒凉的；n 荒野
wildlife|a n|n 野生动植物；adj 野生动植物的
will|n v|n 意志；决心；情感；遗嘱；意图；心愿；v 决心要；遗赠；用意志力使
willing|a n v|adj 乐意的；自愿的；心甘情愿的；v 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）
